SAPNo;Cena w TD;Waluta
770362;3230,60;PLN
770363;5641,07;PLN
772156;230,54;PLN
774373;1556,65;PLN
774375;1556,65;PLN
774379;1556,65;PLN
774394;1110,19;PLN
774402;289,10;PLN
776970;284,24;PLN
776971;1682,66;PLN
777020;379,94;PLN
777438;952,48;PLN
778826;113,85;PLN
782563;691,41;PLN
782565;900,38;PLN
784847;3263,48;PLN
789241;4666,46;PLN
789243;6138,21;PLN
789359;3230,75;PLN
796303;112,07;PLN
796647;159,09;PLN
796675;118,60;PLN
802623;2059,45;PLN
802624;2784,55;PLN
804450;400,55;PLN
805964;22,50;PLN
807681;154,98;PLN
808043;230,36;PLN
808044;160,59;PLN
808045;875,28;PLN
809360;492,37;PLN
809368;870,59;PLN
809497;141,70;PLN
809928;89,93;PLN
810054;119,56;PLN
813359;76,81;PLN
813360;121,52;PLN
813476;81,20;PLN
818608;173,96;PLN
819407;370,88;PLN
819409;458,32;PLN
820509;623,50;PLN
820847;3841,61;PLN
820866;632,28;PLN
820880;2837,35;PLN
820882;2399,68;PLN
820883;632,28;PLN
826362;450,19;PLN
826370;613,52;PLN
826430;546,29;PLN
826432;1504,10;PLN
826433;1621,28;PLN
830314;154,98;PLN
831319;257,08;PLN
833286;2366,85;PLN
833313;2366,85;PLN
833314;2366,85;PLN
833389;2338,38;PLN
833447;2366,85;PLN
833448;2902,89;PLN
833449;2902,89;PLN
833457;2366,85;PLN
833458;2902,89;PLN
833473;2902,89;PLN
833474;2902,89;PLN
833475;2902,89;PLN
836018;193,45;PLN
836487;230,85;PLN
836488;461,79;PLN
836489;692,64;PLN
836709;689,37;PLN
836710;182,06;PLN
837617;426,67;PLN
838983;36,71;PLN
839115;1606,91;PLN
842645;67,58;PLN
847604;344,47;PLN
847625;136,26;PLN
851276;195,54;PLN
852137;213,44;PLN
852140;409,03;PLN
852213;47,32;PLN
852214;21,84;PLN
859628;50,66;PLN
860706;2026,52;PLN
860707;2373,44;PLN
861719;1293,56;PLN
861984;287,01;PLN
863448;385,23;PLN
867287;242,30;PLN
870569;220,59;PLN
870571;1038,85;PLN
871328;375,07;PLN
874493;902,28;PLN
874494;586,42;PLN
874495;890,99;PLN
874496;229,95;PLN
874497;586,42;PLN
874498;1331,04;PLN
874499;586,42;PLN
874501;311,76;PLN
874502;184,99;PLN
874503;961,41;PLN
874504;961,41;PLN
874505;961,41;PLN
877910;133,94;PLN
878864;1545,54;PLN
878866;1467,32;PLN
878868;145,23;PLN
878869;145,27;PLN
878870;776,15;PLN
878871;155,34;PLN
878872;80,81;PLN
878873;80,81;PLN
878909;133,22;PLN
881926;1988,02;PLN
881955;604,15;PLN
881956;994,10;PLN
881957;965,63;PLN
881958;994,10;PLN
881959;843,48;PLN
881960;1988,02;PLN
881961;1988,02;PLN
882336;2758,80;PLN
884763;257,38;PLN
884767;541,68;PLN
884933;403,69;PLN
885105;64,82;PLN
885228;350,80;PLN
885688;473,54;PLN
885694;347,73;PLN
886496;928,97;PLN
891561;720,20;PLN
891564;2023,63;PLN
891565;3809,81;PLN
894054;92,99;PLN
894089;373,47;PLN
894091;417,79;PLN
898069;903,13;PLN
898304;677,50;PLN
898619;456,09;PLN
899458;207,05;PLN
899491;305,76;PLN
900643;330,14;PLN
900649;247,13;PLN
900652;469,80;PLN
900653;469,80;PLN
900655;472,74;PLN
900656;406,60;PLN
900658;173,82;PLN
902291;272,46;PLN
903697;1211,42;PLN
903773;737,33;PLN
903774;1099,15;PLN
904689;203,25;PLN
905749;216,98;PLN
905835;153,47;PLN
908756;23,14;PLN
909998;39,47;PLN
913961;569,45;PLN
914002;1043,20;PLN
915231;176,22;PLN
916364;96,35;PLN
916874;44,29;PLN
917807;4236,83;PLN
918558;66,94;PLN
918744;234,69;PLN
918988;328,47;PLN
920032;728,60;PLN
920035;1314,82;PLN
920037;1314,82;PLN
920039;1314,82;PLN
920419;234,15;PLN
921569;1055,98;PLN
921632;1124,36;PLN
921633;1124,36;PLN
921634;1124,36;PLN
921635;846,51;PLN
921889;11486,66;PLN
921988;3796,39;PLN
921989;4031,01;PLN
924228;39,76;PLN
924230;506,91;PLN
924263;448,68;PLN
924264;448,74;PLN
924265;448,68;PLN
924266;404,39;PLN
924267;650,00;PLN
924268;650,00;PLN
924269;650,00;PLN
924332;876,29;PLN
924333;110,94;PLN
924510;170,93;PLN
924511;171,85;PLN
924522;173,94;PLN
924524;173,94;PLN
924527;174,00;PLN
924531;172,20;PLN
924533;172,20;PLN
924534;193,84;PLN
924535;193,84;PLN
924536;193,84;PLN
924771;40544,30;PLN
925482;48817,28;PLN
925483;57407,46;PLN
925509;70003,87;PLN
925511;34790,54;PLN
925582;34812,73;PLN
925583;43088,04;PLN
925584;51490,00;PLN
925587;6335,45;PLN
925588;2090,10;PLN
926815;565,31;PLN
926816;565,31;PLN
926817;565,31;PLN
926818;494,49;PLN
928093;46,21;PLN
928307;411,66;PLN
930747;898,89;PLN
930748;687,87;PLN
930901;21,12;PLN
930984;59,84;PLN
931471;349,84;PLN
931517;4347,94;PLN
933325;852,00;PLN
933326;486,09;PLN
933327;680,12;PLN
933328;108,30;PLN
935939;362,37;PLN
936064;442,66;PLN
937794;1337,77;PLN
938069;566,05;PLN
938332;7319,07;PLN
938455;2135,03;PLN
938986;2803,54;PLN
939076;4533,58;PLN
939152;1154,36;PLN
939419;321,03;PLN
939751;300,31;PLN
940259;47,32;PLN
940262;87,38;PLN
941309;106,27;PLN
944539;836,91;PLN
944541;71,68;PLN
944973;593,37;PLN
945865;2165,32;PLN
946879;3321,05;PLN
947032;301,11;PLN
947567;2352,19;PLN
947568;3596,47;PLN
947569;177,12;PLN
947570;203,23;PLN
947572;261,25;PLN
948536;1239,21;PLN
948989;297,17;PLN
951921;574,86;PLN
952606;11541,62;PLN
952607;11531,20;PLN
953240;37,23;PLN
955952;503,59;PLN
961219;159,50;PLN
961225;1540,85;PLN
961226;1541,21;PLN
961659;2907,72;PLN
961660;624,00;PLN
965368;670,52;PLN
965371;1014,45;PLN
965379;371,00;PLN
965380;677,03;PLN
965719;187,77;PLN
966351;732,27;PLN
967204;3561,71;PLN
967698;89,89;PLN
968081;75,87;PLN
968082;87,92;PLN
968637;80,89;PLN
969963;862,40;PLN
970114;4620,57;PLN
974801;37,53;PLN
978676;1154,51;PLN
978737;574,39;PLN
978748;60,16;PLN
978884;207,83;PLN
978927;287,82;PLN
983408;557,35;PLN
983410;935,77;PLN
983504;25,82;PLN
985141;88,57;PLN
986834;299,22;PLN
986835;375,76;PLN
988474;953,58;PLN
988655;598,93;PLN
989453;1609,11;PLN
989657;16,35;PLN
989674;33,17;PLN
990145;346,64;PLN
990721;5275,59;PLN
991162;725,30;PLN
991406;725,30;PLN
991588;725,25;PLN
991613;725,30;PLN
991614;699,41;PLN
991615;619,43;PLN
991616;779,36;PLN
991617;1977,77;PLN
991618;619,43;PLN
991623;1977,77;PLN
991624;1977,72;PLN
991626;779,31;PLN
991627;638,58;PLN
991628;779,36;PLN
991842;577,13;PLN
991983;77,99;PLN
992307;1014,65;PLN
992724;440,55;PLN
993753;389,41;PLN
993999;394,68;PLN
994160;470,82;PLN
994603;412,11;PLN
994719;413,56;PLN
994744;533,76;PLN
994745;1224,69;PLN
994746;1923,33;PLN
994811;5395,06;PLN
994812;9552,66;PLN
994823;3301,08;PLN
994843;66317,41;PLN
996196;910,06;PLN
996197;602,69;PLN
996855;23415,65;PLN
997582;903,34;PLN
998173;253,09;PLN
998238;893,76;PLN
999924;65,10;PLN
1002244;30,74;PLN
1002245;34,91;PLN
1002247;53,06;PLN
1002248;67,63;PLN
1002253;191,20;PLN
1002254;348,04;PLN
1002257;264,49;PLN
1002258;464,32;PLN
1002262;522,82;PLN
1002263;1083,22;PLN
1002327;55,45;PLN
1003412;65,35;PLN
1003413;85,52;PLN
1003941;326,94;PLN
1004000;903,06;PLN
1004083;344,75;PLN
1004084;348,40;PLN
1004089;573,74;PLN
1004147;348,69;PLN
1004148;575,60;PLN
1004149;569,61;PLN
1005125;4087,99;PLN
1005944;103,19;PLN
1005946;103,19;PLN
1006114;528,87;PLN
1007792;13551,43;PLN
1007843;24819,99;PLN
1008419;132,67;PLN
1009204;301,47;PLN
1009472;7,15;PLN
1009526;243,87;PLN
1010698;136,87;PLN
1012062;4620,57;PLN
1015936;14040,31;PLN
1016175;27370,32;PLN
1017782;74,45;PLN
1018931;59,30;PLN
1018932;58,40;PLN
1018966;430,41;PLN
1019147;163,43;PLN
1019988;161,12;PLN
1019989;372,10;PLN
1020621;12951,34;PLN
1021690;163,85;PLN
1022585;621,25;PLN
1024869;206,77;PLN
1025231;206,05;PLN
1028240;1106,84;PLN
1028489;182,07;PLN
1028607;604,00;PLN
1029142;178,14;PLN
1032205;133,79;PLN
1033317;413,60;PLN
1033474;9252,70;PLN
1033957;141,54;PLN
1034669;138,48;PLN
1041758;1076,02;PLN
1045029;9695,90;PLN
1046939;122,34;PLN
1052795;46,21;PLN
1061138;455,06;PLN
1061140;294,55;PLN
1061728;87,38;PLN
1063795;132,53;PLN
1063809;143,62;PLN
1064050;334,92;PLN
1064051;401,55;PLN
1064052;401,55;PLN
1064351;340,50;PLN
1064364;401,55;PLN
1064367;644,70;PLN
1064431;3505,51;PLN
1064859;213,65;PLN
1067651;579,95;PLN
1067750;1163,08;PLN
1070850;313,13;PLN
1070863;3924,56;PLN
1070894;57,77;PLN
1071233;401,88;PLN
1071235;663,31;PLN
1071847;253,25;PLN
1073920;7414,93;PLN
1074725;901,33;PLN
1075163;475,30;PLN
1076830;372,01;PLN
1076831;372,01;PLN
1076845;337,47;PLN
1076855;368,31;PLN
1077676;263,39;PLN
1081725;310,47;PLN
1081797;310,47;PLN
1085321;386,55;PLN
1086852;13816,79;PLN
1087142;406,01;PLN
1087143;259,91;PLN
1087144;413,11;PLN
1087145;413,11;PLN
1087186;413,11;PLN
1087187;665,53;PLN
1087188;381,19;PLN
1087189;969,88;PLN
1087190;969,88;PLN
1087191;969,88;PLN
1087195;470,22;PLN
1087196;1183,24;PLN
1087197;1183,24;PLN
1087198;1183,24;PLN
1087199;1160,64;PLN
1087200;308,80;PLN
1087201;645,57;PLN
1087234;11946,46;PLN
1087235;15506,46;PLN
1087335;963,10;PLN
1088272;1726,95;PLN
1088986;575,69;PLN
1089690;723,70;PLN
1089691;723,76;PLN
1089692;723,70;PLN
1089693;330,84;PLN
1089759;242,01;PLN
1089798;408,06;PLN
1089805;755,67;PLN
1089806;852,23;PLN
1090650;56,02;PLN
1090784;1177,75;PLN
1090852;266,73;PLN
1090980;55,79;PLN
1091296;56,02;PLN
1091299;88,85;PLN
1091412;57,39;PLN
1091416;57,39;PLN
1091916;63,08;PLN
1094649;212,35;PLN
1094777;474,86;PLN
1095257;192,90;PLN
1097362;553,29;PLN
1097731;8829,69;PLN
1099622;942,46;PLN
1099832;188,91;PLN
1099979;912,18;PLN
1100505;213,04;PLN
1103676;7809,12;PLN
1103940;103,64;PLN
1106345;112,89;PLN
1106509;233,58;PLN
1106988;1633,95;PLN
1107560;591,57;PLN
1108130;134,84;PLN
1108131;134,84;PLN
1108132;134,84;PLN
1108225;83,48;PLN
1108656;280,67;PLN
1108673;108,48;PLN
1108791;54,98;PLN
1109023;288,75;PLN
1109034;822,82;PLN
1109035;816,84;PLN
1109036;822,82;PLN
1109106;1846,87;PLN
1109107;1500,63;PLN
1109148;860,71;PLN
1109150;907,56;PLN
1109247;3001,14;PLN
1109248;3001,31;PLN
1111980;50,82;PLN
1111981;61,03;PLN
1111982;87,06;PLN
1111983;74,95;PLN
1112094;3674,90;PLN
1112187;44,38;PLN
1112188;44,38;PLN
1112285;45,16;PLN
1112287;44,38;PLN
1112288;44,52;PLN
1112289;45,16;PLN
1112454;101,76;PLN
1112455;85,72;PLN
1112536;69,16;PLN
1112538;26,81;PLN
1113137;344,83;PLN
1113315;157,35;PLN
1113846;985,67;PLN
1115890;568,89;PLN
1115891;1225,04;PLN
1115892;172,42;PLN
1116017;799,23;PLN
1116018;1109,40;PLN
1116019;1109,36;PLN
1116020;1136,21;PLN
1117120;287,68;PLN
1120158;27,80;PLN
1120162;37,06;PLN
1120186;44,98;PLN
1120187;46,38;PLN
1120189;71,96;PLN
1120190;74,17;PLN
1120192;83,48;PLN
1120194;128,67;PLN
1121114;103,93;PLN
1121162;104,28;PLN
1121167;83,01;PLN
1121192;118,60;PLN
1123587;1017,66;PLN
1123878;371,96;PLN
1123897;1153,30;PLN
1128196;317,23;PLN
1129755;624,97;PLN
1131416;100,77;PLN
1131796;796,69;PLN
1132684;23680,52;PLN
1133347;3731,71;PLN
1133431;590,15;PLN
1133433;592,81;PLN
1133434;592,81;PLN
1133435;592,81;PLN
1133440;746,89;PLN
1133441;806,91;PLN
1133442;746,89;PLN
1136447;80,97;PLN
1139901;681,64;PLN
1139915;926,19;PLN
1139916;926,68;PLN
1139917;926,19;PLN
1139929;862,92;PLN
1139936;2482,91;PLN
1139937;1078,53;PLN
1139938;1077,67;PLN
1139939;1077,67;PLN
1139940;1041,89;PLN
1139953;504,91;PLN
1140020;130,26;PLN
1142600;916,73;PLN
1142848;7387,45;PLN
1143341;689,23;PLN
1143354;190,54;PLN
1143720;689,03;PLN
1143834;168,69;PLN
1144569;490,03;PLN
1144570;563,07;PLN
1144607;42,13;PLN
1144666;729,30;PLN
1144667;729,30;PLN
1144676;563,07;PLN
1144773;563,07;PLN
1144775;729,30;PLN
1144924;1595,07;PLN
1145119;43,01;PLN
1147165;808,14;PLN
1147304;727,70;PLN
1151427;138,54;PLN
1151587;11,61;PLN
1152169;552,06;PLN
1152345;58,00;PLN
1153637;374,71;PLN
1154818;536,24;PLN
1155152;403,69;PLN
1155153;343,56;PLN
1155154;343,56;PLN
1155155;343,56;PLN
1155156;712,23;PLN
1155157;712,23;PLN
1155158;712,23;PLN
1155159;450,76;PLN
1155192;291,63;PLN
1155193;378,82;PLN
1155514;588,56;PLN
1160828;8473,18;PLN
1161575;1199,01;PLN
1162365;23647,02;PLN
1163603;1163,39;PLN
1165382;858,56;PLN
1166209;1461,64;PLN
1177195;3814,72;PLN
1177393;86,92;PLN
1178879;3670,86;PLN
1184259;469,96;PLN
1184260;262,71;PLN
1184261;279,84;PLN
1184262;279,84;PLN
1184308;499,27;PLN
1184309;261,63;PLN
1184315;279,84;PLN
1184316;453,68;PLN
1184318;724,82;PLN
1184418;45,39;PLN
1184867;921,14;PLN
1187215;230,94;PLN
1188304;1348,95;PLN
1188332;236,96;PLN
1188852;4693,75;PLN
1188972;3193,18;PLN
1190537;289,70;PLN
1192117;1616,41;PLN
1192669;232,53;PLN
1192790;3754,63;PLN
1192878;3560,37;PLN
1193064;997,98;PLN
1194843;306,40;PLN
1194848;599,76;PLN
1194850;560,18;PLN
1196180;38,59;PLN
1200175;22,84;PLN
1203843;309,74;PLN
1204418;323,61;PLN
1205628;1047,50;PLN
1206381;257,65;PLN
1208421;221,41;PLN
1208430;18732,12;PLN
1212280;2539,43;PLN
1212391;1757,95;PLN
1212514;252,40;PLN
