SapNo;NazwaFlagi;Wa¿neOd;Wa¿neDo
5130738;ADSR;2019-03-15;
5130756;ADSR;2019-03-15;
5130820;ADSR;2019-03-15;
5130838;ADSR;2019-03-15;
5285519;ADSA;2019-05-03;
5285535;ADSR;2019-05-03;
5285742;ADSR;2019-05-03;
5286069;ADSR;2019-05-03;
5286071;ADSA;2019-05-03;
5286076;ADSR;2019-05-03;
5286085;ADSR;2019-05-03;
5286087;ADSA;2019-05-03;
1864546;ADSR;2016-05-24;
2400788;ADSR;2016-05-24;
2457692;ADSR;2016-05-24;
2457881;ADSR;2017-05-04;
2583033;Promocja;2019-08-01;2019-10-29
2583034;Promocja;2019-08-01;2019-10-29
2583036;Promocja;2019-08-01;2019-10-29
2723154;ADSR;2016-05-24;
2797742;ADSR;2016-05-24;
2846760;ADSR;2017-05-08;
2865973;ADSR;2016-05-24;
4655478;ADSR;2018-02-02;
4655480;ADSR;2018-02-02;
4655481;ADSR;2018-02-02;
4655482;ADSR;2018-02-02;
4656754;ADSR;2018-02-02;
4656757;ADSR;2018-02-02;
4657274;ADSR;2018-02-02;
4657275;ADSR;2018-02-02;
4657276;ADSR;2018-02-02;
4657277;ADSR;2018-02-02;
4663191;Promocja;2019-07-24;2019-08-30
4740906;ADSR;2018-05-02;
4740907;ADSR;2018-05-02;
4740908;ADSR;2018-05-02;
4740909;ADSR;2018-05-02;
2911400;Promocja;2019-07-24;2019-08-30
3386446;ADSR;2016-05-24;
3432615;ADSR;2016-05-24;
3432616;ADSR;2016-05-24;
3432617;ADSR;2016-05-24;
4741401;ADSR;2018-05-02;
4741402;ADSR;2018-05-02;
4741403;ADSR;2018-05-02;
4741404;ADSR;2018-05-02;
4741420;ADSR;2018-05-02;
4741421;ADSR;2018-05-02;
4741422;ADSR;2018-05-02;
4823450;Promocja;2019-07-24;2019-08-30
1643253;ADSR;2016-05-24;
4294307;ADSR;2017-05-08;
4294383;ADSR;2017-05-08;
4294630;ADSR;2017-05-04;
4294631;ADSR;2017-05-04;
4294632;ADSR;2017-05-04;
4294764;ADSR;2017-05-04;
4294765;ADSR;2017-05-04;
4294766;ADSR;2017-05-04;
4294787;ADSR;2017-05-08;
4294788;ADSR;2017-05-08;
4294789;ADSA;2017-05-08;
5367709;ADSA;2019-07-02;
5367710;ADSA;2019-07-02;
5368151;ADSA;2019-07-02;
3893710;ADSR;2016-05-24;
3941796;ADSR;2017-05-08;
3941797;ADSR;2017-05-08;
5045804;ADSA;2018-12-31;
5045806;ADSA;2018-12-31;
5045837;ADSA;2018-12-31;
5130407;ADSR;2019-03-15;
5130408;ADSR;2019-03-15;
5130426;ADSR;2019-03-15;
5130427;ADSR;2019-03-15;
5130477;ADSA;2019-03-15;
5130490;ADSR;2019-03-15;
5130591;ADSA;2019-03-15;
5130592;ADSR;2019-03-15;
5130593;ADSR;2019-03-15;
5130594;ADSR;2019-03-15;
5130641;ADSA;2019-03-15;
5130659;ADSA;2019-03-15;
5130691;ADSR;2019-03-15;
5130758;ADSR;2019-03-15;
5130759;ADSR;2019-03-15;
5130760;ADSR;2019-03-15;
5130761;ADSR;2019-03-15;
5130774;ADSR;2019-03-15;
5130775;ADSR;2019-03-15;
5130776;ADSR;2019-03-15;
5130777;ADSR;2019-03-15;
5130778;ADSR;2019-03-15;
5285646;ADSR;2019-05-03;
5285647;ADSR;2019-05-03;
5285663;ADSA;2019-05-03;
5285664;ADSA;2019-05-03;
5285665;ADSR;2019-05-03;
5285666;ADSR;2019-05-03;
5285680;ADSA;2019-05-03;
5285681;ADSA;2019-05-03;
5285682;ADSR;2019-05-03;
5285683;ADSR;2019-05-03;
5285814;ADSA;2019-05-03;
5285815;ADSA;2019-05-03;
5286064;ADSR;2019-05-03;
5286066;ADSR;2019-05-03;
