ProductId	ManufPartNo	Brand	Description	Price	Stock	Category1	Category2	EAN	Status	ReleaseDate
4033230	808457	GM 2KGAMES	Mafia III - Deluxe Edition - Win - download - angielski	"162.16"	9876	Games	Games - action		Live	10/7/2016 12:00:00 AM CET
4033892	817849	GM 2KGAMES	Mafia III Season Pass - Win - download - angielski	"81.05"	9876	Games	Games - action		Live	10/7/2016 12:00:00 AM CET
4098740	819829	GM 2KGAMES	NBA 2KVR Experience - Win - download - angielski	"40.51"	9876	Games	Games - sports		Live	11/22/2016 12:00:00 AM CET
4113820	820022	DISNEY	Star Wars Collection - Win - download - ESD	"108.22"	9876	Games	Games - games collection	2000004440008	Live	2/22/2013 12:00:00 AM CET
4140177	783900	THQ	The Book of Unwritten Tales 2 - Mac, Win, Linux - download - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam - angielski	"86.47"	9876	Games	Games - action		Live	2/20/2015 12:00:00 AM CET
4140178	786508	THQ	The Vanishing of Ethan Carter - Win - ESD - angielski	"54.75"	9876	Games	Games - adventure		Live	9/25/2014 12:00:00 AM CET
4140186	789557	THQ	Last Inua - Mac, Win - ESD - angielski	"20.14"	9876	Games	Games - action		Live	12/11/2014 12:00:00 AM CET
4140201	800500	ATARI	Alone In The Dark Illumination - Win - download - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam - angielski	"55.05"	9876	Games	Games - action		Live	6/11/2015 12:00:00 AM CET
4140204	801214	FERAL	LEGO Jurassic World - Mac - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam - angielski	"58.13"	9876	Games	Gry - akcja		Live	6/16/2015 12:00:00 AM CET
4140205	801938	FERAL	Company of Heroes 2 - Mac - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam - angielski	"58.13"	9876	Games	Games - strategy / tactics / wargame		Live	6/25/2013 12:00:00 AM CET
4140216	811775	THQ	This Is The Police - Mac, Win, Linux - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam	"43.21"	9876	Games	Games - adventure		Live	8/2/2016 12:00:00 AM CET
4140217	811858	THQ	State of Decay Year-One Survival Edition - Win - ESD - angielski	"80.70"	9876	Games	Games - action		Live	8/9/2016 12:00:00 AM CET
4140221	817711	THQ	Quantum Break - Win - ESD - angielski	"106.66"	9876	Games	Gry - akcja		Live	9/29/2016 12:00:00 AM CET
4140223	819519	THQ	The Dwarves - Mac, Win, Linux - ESD - angielski	"115.31"	9876	Games	Games - role playing game (RPG)		Live	12/1/2016 12:00:00 AM CET
4140226	802092	THQ	MX vs. ATV Supercross Encore - Win - ESD - angielski	"86.47"	9876	Games	Games - racing / driving		Live	10/27/2015 12:00:00 AM CET
4140228	803158	FERAL	Alien Isolation - Mac - ESD	"107.58"	9876	Games	Games - action		Live	10/27/2015 12:00:00 AM CET
4140229	803490	FERAL	Tomb Raider Anniversary - Mac - download - ESD - angielski	"26.15"	9876	Games	Games - action		Live	11/5/2015 12:00:00 AM CET
4140233	805807	FERAL	XCOM 2 - Mac - download - ESD	"144.62"	9876	Games	Games - strategy / tactics / wargame		Live	2/5/2016 12:00:00 AM CET
4140247	763452	THQ	The Raven Legacy of a Master Thief - Mac, Win, Linux - ESD - angielski	"57.63"	9876	Games	Games - adventure		Live	7/23/2013 12:00:00 AM CET
4140335	768781	THQ	Deadfall Adventures - Win - download - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam	"57.63"	9876	Games	Games - action		Live	11/15/2013 12:00:00 AM CET
4140336	800979	ATARI	RollerCoaster Tycoon World - Deluxe Edition - Win - ESD - angielski	"80.07"	9876	Games	Gry - strategiczne / taktyczne / wojenne		Live	11/16/2016 12:00:00 AM CET
4140339	801950	FERAL	Company of Heroes 2: Victory at Stalingrad - Mac - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam - angielski	"29.04"	9876	Games	Games - strategy / tactics / wargame	2000004161026	Live	11/13/2013 12:00:00 AM CET
4140344	807788	KONAMI	Castlevania Lords of Shadow Mirror of Fate HD - Win - ESD - angielski	"34.52"	9876	Games	Games - action		Live	3/27/2014 12:00:00 AM CET
4140345	807795	KONAMI	Castlevania Lords of Shadow 2 Digital Bundle - Win - ESD	"86.47"	9876	Games	Games - action		Live	2/25/2014 12:00:00 AM CET
4140356	805385	FERAL	Medieval II: Total War Collection - Mac - ESD	"66.87"	9876	Games	Games - games collection		Live	1/14/2016 12:00:00 AM CET
4141739	820435	FERAL	Mad Max - Mac - download - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam	"58.13"	9876	Games	Games - action		Live	10/20/2016 12:00:00 AM CET
4148998	791059	PARADOXINT	Cities Skylines - Mac, Win, Linux - ESD	"79.12"	9876	Games	Games - strategy / tactics / wargame		Live	3/10/2015 12:00:00 AM CET
4149523	800329	PARADOXINT	Cities Skylines After Dark - Mac, Win, Linux - ESD	"42.36"	9876	Games	Games - strategy / tactics / wargame		Live	9/24/2015 12:00:00 AM CET
4149529	808166	PARADOXINT	Stellaris Nova Edition - Mac, Win, Linux - ESD	"141.33"	9876	Games			Live	5/9/2016 12:00:00 AM CET
4149543	794629	PARADOXINT	Europa Universalis IV: Common Sense - Mac, Win, Linux - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam - angielski	"42.36"	9876	Games	Games - strategy / tactics / wargame		Live	6/9/2015 12:00:00 AM CET
4149547	791394	PARADOXINT	Europa Universalis IV: El Dorado Collection - Mac, Win, Linux - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam	"56.50"	9876	Games	Gry - strategiczne / taktyczne / wojenne		Live	2/26/2015 12:00:00 AM CET
4149550	818393	PARADOXINT	Stellaris Leviathans Story Pack - Mac, Win, Linux - ESD	"28.27"	9876	Games			Live	10/20/2016 12:00:00 AM CET
