SAPNo;QBCena;QB;Waluta
1378849;42,80;2;PLN
1378850;42,80;2;PLN
1378851;42,80;2;PLN
1378852;47,01;2;PLN
1384993;1543,39;2;PLN
1385074;2021,87;2;PLN
1385075;2021,87;2;PLN
1385076;1248,53;2;PLN
1385078;158,84;2;PLN
1385083;756,35;2;PLN
1385084;598,45;2;PLN
1385085;756,35;2;PLN
1385086;756,35;2;PLN
1385088;1135,58;2;PLN
1385089;1135,58;2;PLN
1385090;1703,24;2;PLN
1385092;1703,24;2;PLN
1385093;1703,28;2;PLN
1385094;2021,87;2;PLN
1392968;1135,58;2;PLN
1392973;632,70;2;PLN
1398010;114,32;2;PLN
1400820;351,80;2;PLN
1426359;138,13;5;PLN
1426359;136,28;10;PLN
1426360;231,68;5;PLN
1426360;228,59;10;PLN
1426361;228,58;5;PLN
1426361;225,53;10;PLN
1442892;398,46;2;PLN
1445213;1546,79;2;PLN
1445224;1436,16;2;PLN
1447288;91,54;2;PLN
1447569;1625,06;2;PLN
1448253;176,72;5;PLN
1448253;174,35;10;PLN
1448254;176,72;5;PLN
1448254;174,35;10;PLN
1448256;190,35;5;PLN
1448256;187,81;10;PLN
1448259;349,24;5;PLN
1448259;344,58;10;PLN
1448402;101,76;2;PLN
1448403;107,53;2;PLN
1449559;100,78;2;PLN
1449660;255,14;5;PLN
1449660;251,18;10;PLN
1449661;269,07;5;PLN
1449661;264,89;10;PLN
1451489;101,36;2;PLN
1456819;143,43;2;PLN
1470121;27,96;2;PLN
1471614;71,69;5;PLN
1471614;70,73;10;PLN
1483968;126,57;2;PLN
1484027;19,82;2;PLN
1484029;34,58;2;PLN
1484031;84,88;2;PLN
1491178;946,21;2;PLN
1491181;991,53;2;PLN
1491182;1478,72;2;PLN
1491183;1478,72;2;PLN
1491314;946,21;2;PLN
1491373;946,21;2;PLN
1495650;270,81;5;PLN
1495650;266,61;10;PLN
1506227;271,75;2;PLN
1506228;480,15;2;PLN
1521952;80,73;2;PLN
1522095;90,66;2;PLN
1522527;49,77;2;PLN
1522528;45,58;2;PLN
1535080;763,80;2;PLN
1535133;1581,42;2;PLN
1535373;1747,48;2;PLN
1535374;1747,48;2;PLN
1535375;1747,48;2;PLN
1558612;30,57;2;PLN
1616229;40,62;2;PLN
1616231;40,62;2;PLN
1616232;40,62;2;PLN
1616234;40,62;2;PLN
1616236;28,26;2;PLN
1616237;59,87;2;PLN
1616238;126,75;2;PLN
1616239;84,52;2;PLN
1616245;65,36;2;PLN
1616246;46,66;2;PLN
1616247;79,55;2;PLN
1616248;60,97;2;PLN
1616249;45,29;2;PLN
1616250;39,92;2;PLN
1621921;195,77;2;PLN
